,N,p_left,p_right
1617092686500.0,34,0.7352941176470589,0.2647058823529412
1617092818400.0,16,0.9375,0.0625
1617092918400.0,27,0.7777777777777778,0.2222222222222222
1617093018400.0,29,0.6551724137931034,0.3448275862068966
1617093118400.0,38,0.631578947368421,0.3684210526315789
1617093400600.0,12,0.5833333333333334,0.4166666666666667
1617093680700.0,13,0.38461538461538464,0.6153846153846154
1617093935200.0,8,0.25,0.75
1617094127400.0,8,0.25,0.75
1617094227400.0,15,0.3333333333333333,0.6666666666666666
1617094327400.0,14,0.35714285714285715,0.6428571428571429
1617094427400.0,15,0.4,0.6
1617094696800.0,15,0.8666666666666667,0.13333333333333333
1617094901100.0,30,0.6666666666666666,0.3333333333333333
1617095255000.0,3,0.6666666666666666,0.3333333333333333
1617095494200.0,1,1.0,0.0
1617095706500.0,5,1.0,0.0
1617095806500.0,5,0.8,0.2
1617095942200.0,6,0.5,0.5
1617096042200.0,8,0.375,0.625
1617096143900.0,7,0.14285714285714285,0.8571428571428571
1617096243900.0,8,0.125,0.875
1617096343900.0,10,0.3,0.7
1617096444000.0,14,0.2857142857142857,0.7142857142857143
1617096544000.0,18,0.5555555555555556,0.4444444444444444
1617096644000.0,16,0.4375,0.5625
1617096744000.0,62,0.5967741935483871,0.4032258064516129
1617097025100.0,28,0.6428571428571429,0.35714285714285715
1617097244600.0,13,0.7692307692307693,0.23076923076923078
1617097344600.0,13,0.7692307692307693,0.23076923076923078
1617097613500.0,8,0.375,0.625
1617097713500.0,14,0.5,0.5
1617097813500.0,12,0.3333333333333333,0.6666666666666666
1617097913500.0,16,0.3125,0.6875
1617098013500.0,19,0.3157894736842105,0.6842105263157895
1617098400000.0,8,0.625,0.375
1617098557800.0,3,0.6666666666666666,0.3333333333333333
1617098657800.0,5,0.4,0.6
1617098757800.0,7,0.2857142857142857,0.7142857142857143
1617098993200.0,8,0.75,0.25
1617099093200.0,13,0.8461538461538461,0.15384615384615385
1617099397100.0,5,0.8,0.2
1617099497100.0,3,0.6666666666666666,0.3333333333333333
1617099597100.0,6,0.8333333333333334,0.16666666666666666
1617099697100.0,9,0.7777777777777778,0.2222222222222222
1617099797100.0,11,0.6363636363636364,0.36363636363636365
1617099897100.0,13,0.6923076923076923,0.3076923076923077
1617099997100.0,17,0.7647058823529411,0.23529411764705882
1617100097100.0,24,0.7916666666666666,0.20833333333333334
1617100197100.0,39,0.8461538461538461,0.15384615384615385
1617100508500.0,17,0.5882352941176471,0.4117647058823529
1617100780800.0,8,0.75,0.25
1617100880800.0,11,0.9090909090909091,0.09090909090909091
1617101147100.0,9,0.8888888888888888,0.1111111111111111
1617101355600.0,7,0.42857142857142855,0.5714285714285714
1617101455600.0,11,0.7272727272727273,0.2727272727272727
1617101555600.0,13,0.5384615384615384,0.46153846153846156
1617101655600.0,15,0.5333333333333333,0.4666666666666667
1617101755600.0,18,0.6111111111111112,0.3888888888888889
1617101855700.0,18,0.5555555555555556,0.4444444444444444
1617102084900.0,49,0.7346938775510204,0.2653061224489796
1617102396400.0,14,0.35714285714285715,0.6428571428571429
1617102590000.0,18,0.7222222222222222,0.2777777777777778
1617102690000.0,27,0.6296296296296297,0.37037037037037035
1617102966400.0,11,0.36363636363636365,0.6363636363636364
1617103066400.0,17,0.5882352941176471,0.4117647058823529
1617103166400.0,16,0.5,0.5
1617103266400.0,23,0.5652173913043478,0.43478260869565216
