,N,p_left,p_right
1643670159000.0,1,1.0,0.0
1643670259000.0,5,0.2,0.8
1643670359000.0,4,0.5,0.5
1643670693700.0,3,1.0,0.0
1643673600000.0,6,0.16666666666666666,0.8333333333333334
1643687620700.0,1,1.0,0.0
1643688000000.0,1,1.0,0.0
1643688422100.0,2,0.5,0.5
1643688917000.0,1,1.0,0.0
1643689022900.0,2,1.0,0.0
1643690636100.0,1,1.0,0.0
1643690997300.0,2,0.0,1.0
1643691600000.0,1,1.0,0.0
1643691700000.0,2,1.0,0.0
1643691800000.0,2,1.0,0.0
1643691900000.0,4,0.75,0.25
1643692000000.0,4,1.0,0.0
1643692100000.0,6,0.6666666666666666,0.3333333333333333
1643692200000.0,6,0.5,0.5
1643692300000.0,13,0.46153846153846156,0.5384615384615384
1643693133600.0,1,1.0,0.0
1643693316500.0,6,0.8333333333333334,0.16666666666666666
1643693416500.0,10,0.7,0.3
1643693516500.0,18,0.8888888888888888,0.1111111111111111
1643693616500.0,20,0.8,0.2
1643693953000.0,3,0.6666666666666666,0.3333333333333333
1643694053000.0,7,0.8571428571428571,0.14285714285714285
1643694153000.0,7,0.2857142857142857,0.7142857142857143
1643694509700.0,1,1.0,0.0
1643694776500.0,1,1.0,0.0
1643694876500.0,1,1.0,0.0
1643694976500.0,3,1.0,0.0
1643695076500.0,7,0.7142857142857143,0.2857142857142857
1643695262000.0,26,0.5384615384615384,0.46153846153846156
1643695668500.0,1,0.0,1.0
1643695876000.0,4,0.5,0.5
1643695976000.0,15,0.7333333333333333,0.26666666666666666
1643696212300.0,8,0.875,0.125
1643696312300.0,24,0.7083333333333334,0.2916666666666667
1643696946100.0,5,0.4,0.6
1643697046100.0,15,0.8,0.2
1643697146100.0,23,0.5217391304347826,0.4782608695652174
1643697510100.0,11,0.6363636363636364,0.36363636363636365
1643697610100.0,21,0.7142857142857143,0.2857142857142857
1643697991000.0,10,0.7,0.3
1643698091000.0,11,0.8181818181818182,0.18181818181818182
1643698318100.0,85,0.5529411764705883,0.4470588235294118
1643698731200.0,27,0.5555555555555556,0.4444444444444444
1643699095900.0,105,0.6761904761904762,0.3238095238095238
1643700179700.0,1,0.0,1.0
1643700279700.0,2,0.5,0.5
1643700379700.0,6,0.5,0.5
1643700479700.0,9,0.6666666666666666,0.3333333333333333
1643700634300.0,33,0.7878787878787878,0.21212121212121213
1643701263000.0,10,0.6,0.4
1643701967000.0,3,0.6666666666666666,0.3333333333333333
1643702067000.0,6,0.8333333333333334,0.16666666666666666
1643702167000.0,6,0.8333333333333334,0.16666666666666666
1643702267000.0,11,0.8181818181818182,0.18181818181818182
1643702548500.0,78,0.7692307692307693,0.23076923076923078
1643703077900.0,6,0.8333333333333334,0.16666666666666666
1643703554800.0,10,0.4,0.6
1643703654800.0,18,0.5,0.5
1643703754800.0,20,0.45,0.55
1643703854800.0,24,0.25,0.75
1643704102700.0,17,0.7647058823529411,0.23529411764705882
1643704560500.0,7,0.5714285714285714,0.42857142857142855
1643704901000.0,10,0.7,0.3
1643705201700.0,13,0.6923076923076923,0.3076923076923077
1643705460800.0,7,0.7142857142857143,0.2857142857142857
1643705560800.0,11,0.9090909090909091,0.09090909090909091
1643705814800.0,7,0.7142857142857143,0.2857142857142857
1643705914800.0,16,0.5625,0.4375
1643756400000.0,2,1.0,0.0
1643756532200.0,2,0.5,0.5
1643756730100.0,1,1.0,0.0
1643756836400.0,4,0.5,0.5
1643757130300.0,3,1.0,0.0
1643757230300.0,2,1.0,0.0
1643757330300.0,7,0.42857142857142855,0.5714285714285714
1643759196800.0,1,1.0,0.0
